,rank,major,degree_type,early_career_pay,mid_career_pay,percentage_high_meaning
162,163,Industrial Hygiene,Bachelors,"$58,600","$105,500",55%
163,163,Safety Science,Bachelors,"$62,400","$105,500",-
164,165,Commerce,Bachelors,"$66,800","$105,400",40%
165,165,Rhetoric,Bachelors,"$51,600","$105,400",44%
166,167,Business Computer Information Systems (BCIS),Bachelors,"$64,000","$105,300",40%
167,168,Finance,Bachelors,"$60,200","$105,200",42%
168,169,Plastics Engineering Technology,Bachelors,"$66,900","$105,100",28%
169,170,Molecular Biology,Bachelors,"$54,100","$105,000",67%
170,171,Environmental Engineering,Bachelors,"$62,600","$104,800",62%
171,171,International Management,Bachelors,"$54,100","$104,800",51%
172,173,Computer Information Systems,Bachelors,"$59,400","$104,700",42%
173,174,Corporate Finance,Bachelors,"$63,600","$104,300",43%
174,175,Genetics,Bachelors,"$52,200","$104,100",72%
175,175,International Business,Bachelors,"$55,300","$104,100",39%
176,177,Agricultural Engineering (AE),Bachelors,"$63,100","$104,000",63%
177,178,Consumer Economics,Bachelors,"$53,700","$103,800",40%
178,179,Finance & Marketing,Bachelors,"$56,800","$103,700",46%
179,180,Computer Information Systems (CIS),Bachelors,"$60,500","$103,500",47%
180,181,Business Finance,Bachelors,"$57,200","$103,300",42%
181,182,Psychobiology,Bachelors,"$49,600","$103,100",65%
182,182,Strategic Management,Bachelors,"$66,200","$103,100",47%
183,182,Construction Trades,Bachelors,"$61,900","$103,100",48%
184,185,Operations Management (OM),Bachelors,"$61,500","$103,000",45%
185,186,Entrepreneurship & Leadership,Bachelors,"$57,100","$102,900",43%
186,187,Electrical Engineering Technology (EET),Bachelors,"$66,300","$102,800",47%
187,188,Computer Science & Information Technology,Bachelors,"$66,000","$102,700",50%
188,188,Food Marketing,Bachelors,"$56,300","$102,700",24%
189,190,International Marketing,Bachelors,"$59,000","$102,600",22%
190,190,Network Engineering,Bachelors,"$60,700","$102,600",55%
191,192,Building Construction Management,Bachelors,"$61,300","$102,400",63%
192,193,Engineering Technology (ET),Bachelors,"$58,400","$102,300",47%
193,194,International Relations,Bachelors,"$52,800","$102,200",49%
194,194,Management & Finance,Bachelors,"$56,800","$102,200",59%
195,194,Information Security,Bachelors,"$66,400","$102,200",48%
196,197,Business Operations,Bachelors,"$63,500","$102,100",-
197,198,Industrial Management,Bachelors,"$57,800","$102,000",53%
198,199,Architectural Engineering,Bachelors,"$65,000","$101,900",58%
199,199,Hotel Administration,Bachelors,"$64,900","$101,900",35%
200,201,Manufacturing,Bachelors,"$57,600","$101,500",48%
201,202,Agricultural Economics & Business,Bachelors,"$54,900","$101,400",56%
202,203,Web Development,Bachelors,"$56,400","$101,300",46%
203,204,Aviation,Bachelors,"$54,000","$101,200",48%
204,204,Telecommunications Management,Bachelors,"$55,000","$101,200",42%
205,206,Property Management,Bachelors,"$55,200","$101,000",47%
206,207,Comparative Literature,Bachelors,"$48,100","$100,900",46%
207,208,Construction Science & Management,Bachelors,"$64,700","$100,800",71%
208,209,Biotechnology,Bachelors,"$53,100","$100,700",59%
209,210,Industrial & Labor Relations,Bachelors,"$69,800","$100,600",44%
210,210,Real Estate,Bachelors,"$59,900","$100,600",36%
211,212,Mechanical Engineering Technology (MET),Bachelors,"$64,200","$100,400",48%
212,213,Labor Relations,Bachelors,"$53,000","$100,300",41%
213,214,Electronics,Bachelors,"$57,500","$100,200",63%
214,215,Biochemistry (BCH),Bachelors,"$50,400","$99,900",62%
215,215,Politics,Bachelors,"$53,000","$99,900",51%
216,217,Accounting & Auditing,Bachelors,"$57,800","$99,800",45%
217,218,Chinese Language,Bachelors,"$54,200","$99,600",43%
218,219,Information Science (IS),Bachelors,"$66,300","$99,500",36%
219,220,East Asian Studies,Bachelors,"$49,800","$99,400",42%
220,221,Accounting & Finance,Bachelors,"$59,200","$99,300",45%
221,221,Network Security,Bachelors,"$62,300","$99,300",50%
222,223,Information Technology (IT),Bachelors,"$59,100","$99,200",46%
223,224,Aviation Management,Bachelors,"$50,900","$99,100",58%
224,224,Occupational Health and Safety,Bachelors,"$59,900","$99,100",69%
225,226,Agribusiness,Bachelors,"$50,700","$98,900",53%
226,226,Business & Marketing,Bachelors,"$51,000","$98,900",45%
227,226,Computer Engineering Technology (CET),Bachelors,"$63,000","$98,900",47%
228,229,Computer Security,Bachelors,"$68,100","$98,700",43%
229,230,Operations & Supply Chain Management,Bachelors,"$61,300","$98,600",45%
230,231,Entomology,Bachelors,"$45,900","$98,500",-
231,232,Music Production & Engineering,Bachelors,"$43,100","$98,400",43%
232,232,Industrial Engineering Technology,Bachelors,"$67,200","$98,400",53%
233,234,Logistics & Supply Chain Management,Bachelors,"$59,000","$98,300",47%
234,234,Supply Chain Management,Bachelors,"$61,700","$98,300",41%
235,234,Accounts,Bachelors,"$59,800","$98,300",44%
236,237,Economics & Management,Bachelors,"$54,400","$98,200",-
237,237,Environmental Policy Analysis & Planning,Bachelors,"$51,000","$98,200",65%
238,237,Physical Therapy,Bachelors,"$55,500","$98,200",88%
239,240,European History,Bachelors,"$52,300","$98,000",47%
240,240,Robotics & Automation,Bachelors,"$66,100","$98,000",63%
241,242,Geological Engineering,Bachelors,"$61,700","$97,900",54%
242,242,Manufacturing Technology,Bachelors,"$59,900","$97,900",46%
243,244,Chemistry,Bachelors,"$51,600","$97,500",55%
244,245,Business Logistics & Transportation,Bachelors,"$56,400","$97,400",44%
245,246,Food Science & Technology,Bachelors,"$53,100","$97,300",49%
246,247,City & Regional Planning,Bachelors,"$51,800","$97,200",70%
247,247,Civil Engineering Technology (CET),Bachelors,"$58,300","$97,200",60%
248,249,Electronics Engineering Technology (EET),Bachelors,"$64,300","$97,100",50%
249,249,English & Psychology,Bachelors,"$42,600","$97,100",-
250,249,Finance & Banking,Bachelors,"$55,300","$97,100",47%
251,249,Mechanical Design,Bachelors,"$60,900","$97,100",45%
252,253,Applied Technology,Bachelors,"$55,500","$97,000",62%
253,254,Marketing & Management,Bachelors,"$50,000","$96,900",45%
254,255,Technical & Scientific Communication,Bachelors,"$50,700","$96,800",37%
255,256,Financial Planning,Bachelors,"$54,000","$96,600",63%
256,256,Organizational Behavior,Bachelors,"$57,000","$96,600",51%
257,256,Marketing,Bachelors,"$51,700","$96,600",40%
258,259,Dairy Science,Bachelors,"$51,200","$96,200",68%
259,259,Project Management,Bachelors,"$56,800","$96,200",58%
260,261,Government & International Politics (GVIP),Bachelors,"$51,300","$96,100",49%
261,261,Latin American Studies,Bachelors,"$46,700","$96,100",62%
262,263,Industrial Design (ID),Bachelors,"$55,100","$95,900",41%
263,263,Web Design & Development,Bachelors,"$53,100","$95,900",44%
264,265,Computing & Information Systems (CIS),Bachelors,"$58,100","$95,800",40%
265,265,Electromechanical Engineering,Bachelors,"$70,500","$95,800",55%
266,265,Industrial Technology (IT),Bachelors,"$62,200","$95,800",50%
267,265,Information Technology (IT) & Systems,Bachelors,"$61,100","$95,800",47%
268,269,Biopsychology,Bachelors,"$53,300","$95,700",74%
